Datetime,Symbol,Open,High,Low,Close,Volume
2025-05-07 09:15:00+05:30,RELIANCE,1416.5999755859375,1423.699951171875,1412.9000244140625,1420.300048828125,680056
2025-05-07 09:30:00+05:30,RELIANCE,1420.300048828125,1422.0,1416.5,1417.0999755859375,530290
2025-05-07 09:45:00+05:30,RELIANCE,1417.0999755859375,1417.5999755859375,1412.4000244140625,1415.199951171875,541224
2025-05-07 10:00:00+05:30,RELIANCE,1415.199951171875,1415.199951171875,1410.5,1411.5999755859375,525233
2025-05-07 10:15:00+05:30,RELIANCE,1411.800048828125,1416.5,1410.9000244140625,1415.0,463698
2025-05-07 10:30:00+05:30,RELIANCE,1415.0,1417.9000244140625,1414.800048828125,1416.4000244140625,262300
2025-05-07 10:45:00+05:30,RELIANCE,1416.5999755859375,1417.4000244140625,1413.0,1414.199951171875,239581
2025-05-07 11:00:00+05:30,RELIANCE,1414.300048828125,1415.699951171875,1413.9000244140625,1415.0,173205
2025-05-07 11:15:00+05:30,RELIANCE,1415.0,1421.4000244140625,1414.5999755859375,1419.699951171875,353474
2025-05-07 11:30:00+05:30,RELIANCE,1420.0,1421.5,1418.800048828125,1418.800048828125,151341
2025-05-07 11:45:00+05:30,RELIANCE,1418.9000244140625,1419.0,1416.0,1416.800048828125,116289
2025-05-07 12:00:00+05:30,RELIANCE,1416.800048828125,1418.0,1416.199951171875,1417.0999755859375,140939
2025-05-07 12:15:00+05:30,RELIANCE,1416.5999755859375,1417.800048828125,1416.0,1416.5,185464
2025-05-07 12:30:00+05:30,RELIANCE,1416.5999755859375,1417.5999755859375,1416.300048828125,1416.5,153121
2025-05-07 12:45:00+05:30,RELIANCE,1416.5999755859375,1418.5,1416.4000244140625,1417.9000244140625,269567
2025-05-07 13:00:00+05:30,RELIANCE,1417.9000244140625,1417.9000244140625,1415.9000244140625,1416.0999755859375,249901
2025-05-07 13:15:00+05:30,RELIANCE,1416.0,1416.4000244140625,1415.0,1415.0,365141
2025-05-07 13:30:00+05:30,RELIANCE,1415.0,1415.5999755859375,1413.5,1413.9000244140625,279752
2025-05-07 13:45:00+05:30,RELIANCE,1413.9000244140625,1414.199951171875,1412.199951171875,1412.5,249484
2025-05-07 14:00:00+05:30,RELIANCE,1412.5,1416.5,1412.5,1416.0999755859375,389460
2025-05-07 14:15:00+05:30,RELIANCE,1416.0999755859375,1416.199951171875,1413.0,1413.5,354041
2025-05-07 14:30:00+05:30,RELIANCE,1413.5,1415.0,1412.699951171875,1413.9000244140625,479251
2025-05-07 14:45:00+05:30,RELIANCE,1414.0999755859375,1414.0999755859375,1412.0999755859375,1412.4000244140625,676669
2025-05-07 15:00:00+05:30,RELIANCE,1412.800048828125,1412.800048828125,1405.699951171875,1405.699951171875,2076055
2025-05-07 15:15:00+05:30,RELIANCE,1405.699951171875,1407.0999755859375,1402.699951171875,1406.0,2312502
2025-05-08 09:15:00+05:30,RELIANCE,1406.9000244140625,1409.699951171875,1398.4000244140625,1399.300048828125,548797
2025-05-08 09:30:00+05:30,RELIANCE,1399.0,1406.5999755859375,1398.300048828125,1403.300048828125,407592
2025-05-08 09:45:00+05:30,RELIANCE,1403.800048828125,1411.4000244140625,1403.699951171875,1407.0999755859375,403744
2025-05-08 10:00:00+05:30,RELIANCE,1407.199951171875,1413.300048828125,1407.0999755859375,1411.199951171875,344610
2025-05-08 10:15:00+05:30,RELIANCE,1411.0,1412.199951171875,1409.300048828125,1411.5,244029
2025-05-08 10:30:00+05:30,RELIANCE,1411.699951171875,1413.9000244140625,1410.0,1410.800048828125,284130
2025-05-08 10:45:00+05:30,RELIANCE,1410.800048828125,1415.9000244140625,1410.0999755859375,1415.699951171875,378572
2025-05-08 11:00:00+05:30,RELIANCE,1415.800048828125,1418.0999755859375,1415.5999755859375,1416.0,350359
